0
"The US seems so uncharacteristically unprepared for the #coronavirus. Long lines at immigration posts in airports,… https://t.co/XCZGSYH7np"
"Came in just 48 hrs ago at SFO. Although I am not sick in any way (thankfully) but there was no screening what so ever. I got out of the airport faster than usual since immigration lines were small.

#COVID19 https://t.co/uvhHLJ7pvt"
"Sign Petition: Prioritize the Safety and Health of ALL, Regardless of Immigration Status, in #Coronavirus Response… https://t.co/jXxhuQgnG1"
"I’m old enough to remember when President Trump said that we should have less immigrants from “shithole countries” and more from places like Norway. 

#coronavirus #FlattenTheCurve #ShutItDown https://t.co/QQHw5M6em5"
.@jbgsmith  - Arlington VA #Immigration court is housed one of your buildings and is remaining open despite… https://t.co/8ZypAGSoOg
"#COVID19 in an ICE detention facility. @ICEgov, @CBP, &amp; ORR: Release your plans to protect immigrants in your custo… https://t.co/FKhePBBTvp"
.@jbgsmith  - Arlington VA #Immigration court is housed in one of your buildings &amp; is remaining open despite… https://t.co/l8ytn194wu
"Wait, did Norway essentially say America is what Citrus Caligula said Africa was? A $#!t hole country? Y'all remember he only wanted immigrants that were from Norway? 

😂😂😂

#coronapocalypse 

https://t.co/UnyyZi7ULN https://t.co/amonmgF6Zi"
C’est moi ou plus grand monde ne se plaint que la @coalitionavenir veut  couper l’immigration ? #coronavirus… https://t.co/PHtiUnfRZU
"Sign Petition: Prioritize the Safety and Health of ALL, Regardless of Immigration Status, in #Coronavirus Response… https://t.co/I58CAxpvz3"
Want to defeat #coronavirus? Protect #legalimmigration. https://t.co/81VqflkxpM via @usatoday
"Where should I start?? 
🇺🇸 citizens, immigrants, etc. who loathe @realDonaldTrump PLEASE feel free to add‼️
 
SO the ‘GREATEST POTUS EVER’ WHO said on March 9 
“ #coronavirus will disappear” is GREATER than LINCOLN during Civil War, than FDR during the Depression? OH LORD HELP🙏 https://t.co/9WYh4yXOXh"
"Sign Petition: Prioritize the Safety and Health of ALL, Regardless of Immigration Status, in #Coronavirus Response… https://t.co/yFP1MPL6At"
"Sign Petition: Prioritize the Safety and Health of ALL, Regardless of Immigration Status, in #Coronavirus Response… https://t.co/jNPuDrkvZM"
"#closeimmigrationcourts 

#coronavirus https://t.co/8XEJGPwfSi"
".@Imm_Judges_NAIJ, AFGE Local 511 (@ICEgov Professionals Union) and @AILANational call for emergency closure of #immigration courts due to the #COVID_19 virus. Full letter here: https://t.co/qQvsn5MIa4"
"This is extraordinary. Judges, prosecutors, and defense counsel are coming together to protect each other, public health, and vulnerable immigrants. @DOJ_EOIR and @TheJusticeDept close the nondetained courts NOW. #COVID19 https://t.co/DgQydbOgfZ"
"In the midst of the #COVID19 pandemic, federal agencies like the immigration courts and Social Security Administrat… https://t.co/SI0PmHZHRn"
We stand with @Imm_Judges_NAIJ and others to demand an immediate nationwide closure of all Immigration Courts amid… https://t.co/ARaTMTnnQE
#coronavirus #immigration https://t.co/LCBgl31nJX
1000+ people waiting for immigration. No direction to #SocialDistancing no sanitizer or masks given. This is a nati… https://t.co/8vcGZrGw0N
"Extraordinary united demand from judges, prosecutors and attorneys:  @DOJ_EOIR must close all  #immigrationcourts t… https://t.co/c1Sh85DjDL"
CHINA HAS TAKEN OVER OR SHOULD SAY IMMIGRATION HAS DESTROYED ITALY #Coronavirus
Hope you’re all staying healthy! 🙏 Are you wondering how #covid_19 #coronavirus will affect your immigration case?… https://t.co/rmnJA1DmV9
"NEW: ICE and #immigration judges beg that courts close 

#COVID19 https://t.co/8vJDSz4uzy"
"Glad that immigrants can seek medical care for #COVID19 without fear it will affect their citizenship prospects.

B… https://t.co/llgH8JXhWa"
"Biden is compassionate, clear, &amp; policy hawk. Healthcare, crisis, immigration positions very strong. Restore American decency &amp; promise #BlueWave2020 #Biden2020 he'll eat trump's lunch #coronavirus @davidaxelrod @ewarren @PreetBharara @amyklobuchar @BetoORourke @AndrewYang"
What is the Democrats’ position on illegal immigration in light of the #coronapocalypse #COVID? What if another car… https://t.co/y8CL2fIYFS
"Do we have any immigration laws for the #coronavirus?
#immigration  #bordersecurity"
"Sign Petition: Prioritize the Safety and Health of ALL, Regardless of Immigration Status, in #Coronavirus Response… https://t.co/5vV3uF4mDO"
".@Imm_Judges_NAIJ, AFGE Local 511 (@ICEgov Professionals Union) and @AILANational call for emergency closure of #immigration courts due to the #COVID_19 virus. https://t.co/t3oxoakAGr"
